,event,timestamp
0,0,2019-02-08 18:32:27.464839
1,1,2019-02-08 18:33:03.255944
2,1,2019-02-08 18:33:04.835058
3,1,2019-02-08 18:33:05.238866
4,1,2019-02-08 18:33:24.380794
5,1,2019-02-08 18:33:25.503510
6,1,2019-02-08 18:33:49.342439
7,1,2019-02-08 18:34:02.183267
8,1,2019-02-08 18:34:06.647840
9,1,2019-02-08 18:34:07.118579
10,1,2019-02-08 18:34:07.801584
11,1,2019-02-08 18:34:08.358760
12,1,2019-02-08 18:34:08.659362
13,1,2019-02-08 18:34:09.476991
14,1,2019-02-08 18:34:09.777572
15,1,2019-02-08 18:34:10.278013
16,1,2019-02-08 18:34:10.833899
17,1,2019-02-08 18:34:11.134538
18,1,2019-02-08 18:34:11.435238
19,1,2019-02-08 18:34:11.735934
20,1,2019-02-08 18:34:12.569996
21,1,2019-02-08 18:34:13.037131
22,1,2019-02-08 18:34:13.388204
23,1,2019-02-08 18:34:13.755010
24,1,2019-02-08 18:34:14.084706
25,1,2019-02-08 18:34:14.385315
26,1,2019-02-08 18:34:14.685988
27,1,2019-02-08 18:34:14.986758
28,2,2019-02-08 18:34:16.042552
