,event,timestamp
0,0,2019-02-25 16:20:09.199891
1,1,2019-02-25 16:20:19.700932
2,1,2019-02-25 16:20:21.473047
3,1,2019-02-25 16:20:23.944231
4,1,2019-02-25 16:20:29.982218
5,1,2019-02-25 16:20:35.980131
6,1,2019-02-25 16:20:36.280865
7,1,2019-02-25 16:20:38.565598
8,1,2019-02-25 16:20:43.434382
9,1,2019-02-25 16:20:44.453036
10,1,2019-02-25 16:20:44.980212
11,1,2019-02-25 16:20:46.003105
12,1,2019-02-25 16:20:50.099625
13,1,2019-02-25 16:20:50.400333
14,1,2019-02-25 16:20:51.624055
15,1,2019-02-25 16:20:56.992312
16,1,2019-02-25 16:20:57.704535
17,1,2019-02-25 16:20:58.818510
18,1,2019-02-25 16:20:59.366506
19,1,2019-02-25 16:20:59.766830
20,1,2019-02-25 16:21:00.074952
21,1,2019-02-25 16:21:00.376049
22,1,2019-02-25 16:21:00.676908
23,1,2019-02-25 16:21:04.012066
24,1,2019-02-25 16:21:04.418537
25,1,2019-02-25 16:21:06.524379
26,1,2019-02-25 16:21:15.134289
27,1,2019-02-25 16:21:17.825826
28,1,2019-02-25 16:21:19.303791
29,1,2019-02-25 16:21:19.894310
30,1,2019-02-25 16:21:20.666698
31,1,2019-02-25 16:21:24.215899
32,1,2019-02-25 16:21:26.351715
33,1,2019-02-25 16:21:27.243294
34,1,2019-02-25 16:21:28.127800
35,1,2019-02-25 16:21:28.449063
36,1,2019-02-25 16:21:28.749738
37,1,2019-02-25 16:21:29.074329
38,1,2019-02-25 16:21:29.375178
39,1,2019-02-25 16:21:29.676050
40,1,2019-02-25 16:21:30.013852
41,1,2019-02-25 16:21:30.314776
42,1,2019-02-25 16:21:30.615706
43,1,2019-02-25 16:21:30.916585
44,1,2019-02-25 16:21:32.028387
45,1,2019-02-25 16:21:32.566176
46,1,2019-02-25 16:21:33.363072
47,1,2019-02-25 16:21:34.320800
48,1,2019-02-25 16:21:34.786898
49,1,2019-02-25 16:21:35.482356
50,1,2019-02-25 16:21:37.246564
51,1,2019-02-25 16:21:37.932701
52,1,2019-02-25 16:21:39.828603
53,1,2019-02-25 16:21:41.275965
54,1,2019-02-25 16:21:41.577377
55,1,2019-02-25 16:21:41.878099
56,1,2019-02-25 16:21:42.178941
57,1,2019-02-25 16:21:42.479835
58,1,2019-02-25 16:21:42.780756
59,1,2019-02-25 16:21:43.874046
60,1,2019-02-25 16:21:44.504075
61,1,2019-02-25 16:21:46.710797
62,1,2019-02-25 16:21:50.756833
63,1,2019-02-25 16:21:51.416638
64,1,2019-02-25 16:21:51.945281
65,1,2019-02-25 16:21:52.768963
66,1,2019-02-25 16:21:53.743137
67,1,2019-02-25 16:21:54.043792
68,1,2019-02-25 16:21:57.152941
69,1,2019-02-25 16:21:59.074299
70,2,2019-02-25 16:22:00.503647
