,event,timestamp
0,0,2019-03-23 09:20:25.319130
1,1,2019-03-23 09:20:29.607879
2,1,2019-03-23 09:20:29.908666
3,1,2019-03-23 09:20:30.209442
4,1,2019-03-23 09:20:30.585223
5,1,2019-03-23 09:20:31.169155
6,1,2019-03-23 09:20:31.469880
7,1,2019-03-23 09:20:31.771590
8,1,2019-03-23 09:20:32.107404
9,1,2019-03-23 09:20:32.413521
10,1,2019-03-23 09:20:33.105985
11,1,2019-03-23 09:20:33.406675
12,1,2019-03-23 09:20:33.707494
13,1,2019-03-23 09:20:35.779919
14,1,2019-03-23 09:20:36.080647
15,1,2019-03-23 09:20:36.381458
16,1,2019-03-23 09:20:36.682341
17,1,2019-03-23 09:20:36.983231
18,1,2019-03-23 09:20:37.284178
19,1,2019-03-23 09:20:37.585174
20,1,2019-03-23 09:20:37.886241
21,1,2019-03-23 09:20:38.187170
22,1,2019-03-23 09:20:38.488918
23,1,2019-03-23 09:20:38.789881
24,1,2019-03-23 09:20:39.090859
25,1,2019-03-23 09:20:39.391913
26,1,2019-03-23 09:20:39.692889
27,1,2019-03-23 09:20:39.993856
28,1,2019-03-23 09:20:40.294783
29,1,2019-03-23 09:20:40.595774
30,1,2019-03-23 09:20:40.896717
31,1,2019-03-23 09:20:41.197716
32,1,2019-03-23 09:20:41.498655
33,1,2019-03-23 09:20:41.799547
34,1,2019-03-23 09:20:42.100514
35,2,2019-03-23 09:20:46.122929
